class,physiological_width,aspect_ratio,rectangularity,eccentricity,hue,value,correlation 90,homogeneity 0,homogeneity 45,homogeneity 90,homogeneity 135,dissimilarity 0,dissimilarity 45,dissimilarity 90,dissimilarity 135,contrast 0,contrast 45,contrast 90,contrast 135,ASM 0,ASM 45,ASM 90,ASM 135,energy 0,energy 45,energy 90,energy 135
1,343,0.8746355685131195,1.2571240081364878,0.4847810044666892,40.69008746355685,164.67150631681244,0.9036648387640864,0.3412814734567319,0.3363667527076178,0.3540250048499468,0.3302968131692571,7.808864950338484,7.797725823168302,7.353777120315583,8.320009168460494,539.0117507535699,549.5683149964125,531.2393984220907,601.2491728454117,0.0324727795165754,0.0302137672933848,0.0325346829787316,0.0298514577703294,0.1802020519211017,0.1738210783920778,0.1803737313988145,0.1727757441608325
1,309,0.9288025889967636,1.278663706096084,0.3705748921242625,52.651590496487486,184.653214257524,0.8631170084091089,0.2470448577364819,0.2364575239452284,0.2487380394056619,0.2394918221589311,16.212180678923104,16.93741528123732,15.416296075554731,16.49862712158952,842.0484174527766,928.7995945084864,821.6185929763427,905.7653594392629,0.0340852139942864,0.0311193762002926,0.0347712520623488,0.0311927498260979,0.1846218134302836,0.1764068485073429,0.1864705125813431,0.1766146931206402
1,270,1.0518518518518518,1.2799839751615003,0.310099138821183,52.91387584767867,178.3817553468962,0.8306569167655226,0.2361868240545727,0.2250798505209517,0.2348627785676184,0.2241666586737311,19.38724279835392,19.80393394199785,19.138493223491896,20.43223684210525,1168.2327492366917,1199.1395408163262,1150.2589556205166,1303.2955021482271,0.0346053976512813,0.0310005396527993,0.0342764055287758,0.0307741974323083,0.1860252607881019,0.1760697011208893,0.1851388817314608,0.175425760458116
1,292,0.9965753424657534,1.3234483295693482,0.0826897018332166,50.27332533069717,159.70332580144049,0.8274371438652808,0.2453571831361281,0.2366029874384569,0.2448104205812319,0.2346930363233742,23.03870102500241,23.23493757259002,22.552007375743862,24.121745547812623,1504.4589280582445,1517.670501838948,1450.3256821964392,1662.4559741579558,0.0440671297825307,0.0405818306819196,0.0443486478356391,0.0399708103744822,0.2099217229886671,0.2014493253449107,0.2105911865098803,0.1999270126183109
1,251,1.1354581673306774,1.2994550408719343,0.4736712148964549,44.44913678618858,150.87051093870133,0.782747413155315,0.2122702987072154,0.1992209658223658,0.2065540643731458,0.19817763193578,28.269920318725102,29.391963346636537,28.641192411924088,29.730142492832144,2001.4662208309608,2158.228680104315,2057.8112394808163,2173.16184246546,0.0333000910618846,0.0286798503957434,0.0314704875914676,0.0288156115489403,0.1824831254168029,0.169351263342626,0.1773992322178076,0.1697516172203974
1,313,0.9584664536741214,1.2900035032044015,0.2852052895395757,43.41450479233227,151.7784984025559,0.8727347149181832,0.2449429557567194,0.2340920998100182,0.2435365355240996,0.2356248039469896,19.67178209779608,20.20839893291352,19.318874458874465,20.786877897314824,1301.5503763469983,1364.6792945858492,1282.4822077922072,1465.7704998688027,0.0378398807502291,0.034564190939678,0.0379684920869173,0.0347626688058377,0.1945247561371793,0.1859144721092956,0.1948550540450961,0.1864474961104002
1,316,0.939873417721519,1.3018094557761797,0.3415229987284474,54.11795166858458,148.09220900993054,0.9149702384838722,0.3426473417599817,0.3329663772362262,0.34864964902174,0.329360207971171,9.558414253511357,10.215410868994482,9.146924767503544,9.944954931303055,917.3682157100744,1021.1554870044622,871.1176285902977,936.2079723461972,0.0408860586158122,0.0376092923851266,0.0410193237539984,0.0376999912513813,0.2022030133697622,0.1939311537250441,0.2025322783015055,0.1941648558606355
1,297,1.0101010101010102,1.287330414806467,0.1410673597966589,56.89702581369248,176.3514478114478,0.8423293463362641,0.2214309291185504,0.2099137175945009,0.2174546360302854,0.2117335651607871,20.588289676425248,21.019451618854347,20.44872146118724,21.244338621898347,1232.9046738572154,1237.795463979338,1220.120433789955,1333.5716838852495,0.0322530078916116,0.0285610317680198,0.0307678043097517,0.0288078689390636,0.1795912244281764,0.1690000939881984,0.1754075377791721,0.1697288099854105
1,303,0.9702970297029704,1.2539166420336978,0.2419166677796161,49.62533396196763,127.23290900518624,0.8902116083288744,0.2610573008680701,0.2522426494440947,0.2628367203380219,0.2478554994431016,14.218221476126857,14.7121323953408,13.926220152490515,15.460442855495344,1215.1655646533518,1294.7128243570537,1174.871752727936,1377.9761619190404,0.0296081369708525,0.0263678538603891,0.0294075306463694,0.0261804495585834,0.1720701513071124,0.1623818150544857,0.1714862403995419,0.1618037377769237
1,296,0.9527027027027029,1.2759400794863955,0.3039038668114733,49.90202702702703,125.67120711136668,0.895074242856177,0.3087892495044698,0.2978165417390428,0.3195102795087455,0.3024881030282639,11.888232998341293,12.73858036858184,11.528344422509807,12.857975263624706,1196.9272611962133,1299.9144451562036,1203.5600034120548,1397.277902335665,0.0342284774794512,0.0310592986107569,0.0340122629487207,0.0304107423276329,0.1850093983543843,0.1762364849024086,0.1844241387365569,0.1743867607578998
